Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Tirtouga,Water,3,54,78,103,22,222,Dottler,Bug,4,50,35,80,30,117,1,663,564,825
Carracosta,Water,3,74,108,133,32,238,Durant,Bug,4,58,109,112,109,280,0,664,565,632
Archen,Rock,15,55,112,45,70,257,Dustox,Bug,4,60,50,70,65,21,1,665,566,269
Archeops,Rock,15,75,140,65,110,357.5,Dwebble,Bug,4,50,65,85,55,-25,1,666,567,557
Trubbish,Poison,7,50,50,62,65,159.5,Escavalier,Bug,4,70,135,105,20,330,0,667,568,589
Garbodor,Poison,7,80,95,82,75,287,Forretress,Bug,4,75,90,140,40,345,0,668,569,205
Zorua,Dark,6,40,65,40,65,56,Galvantula,Bug,4,70,77,60,108,250,0,669,570,596
Zoroark,Dark,6,60,105,60,105,90,Genesect,Bug,4,71,120,95,99,280,0,670,571,649
Minccino,Normal,5,55,50,40,75,95,Golisopod,Bug,4,75,125,140,40,330,0,671,572,768
Cinccino,Normal,5,75,95,60,115,283,Grubbin,Bug,4,47,62,45,46,105,1,672,573,736
Gothita,Psychic,14,45,30,50,45,-80,Heracross,Bug,4,80,125,75,85,305,0,673,574,214
Gothorita,Psychic,14,60,45,70,55,136,Illumise,Bug,4,65,47,75,85,227,0,674,575,314
Gothitelle,Psychic,14,70,55,95,65,191,Joltik,Bug,4,50,47,50,65,157,1,675,576,595
Solosis,Psychic,14,45,30,40,20,85,Kakuna,Bug,4,45,25,50,35,95,0,676,577,14
Duosion,Psychic,14,65,40,50,30,35,Karrablast,Bug,4,50,75,45,60,190,0,677,578,588
Reuniclus,Psychic,14,110,65,75,30,230,Kricketot,Bug,4,37,25,41,25,63,1,678,579,401
Ducklett,Water,3,62,44,50,55,168.5,Kricketune,Bug,4,77,85,51,65,234,0,679,580,402
Swanna,Water,3,75,87,63,98,280.5,Larvesta,Bug,4,55,85,55,60,81,1,680,581,636
Vanillite,Ice,10,36,50,50,44,77,Leavanny,Bug,4,75,103,80,92,250,0,681,582,542
Vanillish,Ice,10,51,65,65,59,205,Ledian,Bug,4,55,35,50,85,95,1,682,583,166
Vanilluxe,Ice,10,71,95,85,79,310,Ledyba,Bug,4,40,20,30,55,-45,1,683,584,165
Deerling,Normal,5,60,60,50,75,125,Masquerain,Bug,4,70,60,62,80,212,0,684,585,284
Sawsbuck,Normal,5,80,100,70,95,45,Mega Beedrill,Bug,4,65,150,40,145,300,0,685,586,15
Emolga,Electric,8,55,75,60,103,200.5,Mega Heracross,Bug,4,80,185,115,75,380,0,686,587,214
Karrablast,Bug,4,50,75,45,60,75,Mega Pinsir,Bug,4,65,155,120,105,407.5,0,687,588,127
Escavalier,Bug,4,70,135,105,20,255,Mega Scizor,Bug,4,70,150,140,75,367.5,0,688,589,212
Foongus,Grass,1,69,55,45,15,164,Metapod,Bug,4,50,20,55,30,127.5,1,689,590,11
Amoonguss,Grass,1,114,85,70,30,205,Mothim,Bug,4,70,94,50,66,258.75,0,690,591,414
Frillish,Water,3,55,40,50,40,162.5,Nincada,Bug,4,31,45,90,40,126,1,691,592,290
Jellicent,Water,3,100,60,70,60,245,Ninjask,Bug,4,61,90,45,160,296,0,692,593,291
Alomomola,Water,3,165,75,80,65,340,Orbeetle,Bug,4,60,45,110,90,230,1,693,594,826
Joltik,Bug,4,50,47,50,65,142,Paras,Bug,4,35,70,55,25,91,1,694,595,46
Galvantula,Bug,4,70,77,60,108,220,Parasect,Bug,4,60,95,80,30,111,1,695,596,47
Ferroseed,Grass,1,44,50,91,10,58,Pheromosa,Bug,4,71,137,37,151,371,0,696,597,795
Ferrothorn,Grass,1,74,94,131,20,254,Pineco,Bug,4,50,65,90,15,173,1,697,598,204
Klink,Steel,12,40,55,70,30,132.5,Pinsir,Bug,4,65,125,100,85,320,0,698,599,127
Klang,Steel,12,60,80,95,50,257.5,Ribombee,Bug,4,60,55,60,124,139,1,699,600,743
Klinklang,Steel,12,60,100,115,90,347.5,Scatterbug,Bug,4,38,35,40,35,48,1,700,601,664
Tynamo,Electric,8,35,55,40,60,60,Scizor,Bug,4,70,130,100,65,310,0,701,602,212
Eelektrik,Electric,8,65,85,70,40,160,Scolipede,Bug,4,60,100,89,112,276,0,702,603,545
Eelektross,Electric,8,85,115,80,50,220,Scyther,Bug,4,70,110,80,105,135,1,703,604,123
Elgyem,Psychic,14,55,55,55,30,89,Sewaddle,Bug,4,45,53,70,42,155,0,704,605,540
Beheeyem,Psychic,14,75,75,75,40,85,Shedinja,Bug,4,1,90,45,40,176,0,705,606,292
Litwick,Ghost,16,50,30,55,20,145,Shelmet,Bug,4,50,40,85,25,170,0,706,607,616
Lampent,Ghost,16,60,40,60,55,212.5,Shuckle,Bug,4,20,10,230,5,225,0,707,608,213
Chandelure,Ghost,16,60,55,90,80,276.25,Silcoon,Bug,4,50,35,55,15,100,1,708,609,266
Axew,Dragon,17,46,87,60,57,228,Spewpa,Bug,4,45,22,60,29,69,1,709,610,665
Fraxure,Dragon,17,66,117,70,67,260,Spinarak,Bug,4,40,60,40,30,53,1,710,611,167
Haxorus,Dragon,17,76,147,90,97,380,Surskit,Bug,4,40,30,32,65,20,1,711,612,283
Cubchoo,Ice,10,55,70,40,40,142,Swadloon,Bug,4,55,63,90,42,110,1,712,613,541
Beartic,Ice,10,95,130,80,50,310,Venipede,Bug,4,30,45,59,57,61,1,713,614,543
Cryogonal,Ice,10,80,50,50,105,220,Venomoth,Bug,4,70,65,60,90,235,0,714,615,49
Shelmet,Bug,4,50,40,85,25,145,Venonat,Bug,4,60,55,50,45,190,0,715,616,48
Accelgor,Bug,4,80,70,40,145,255,Vespiquen,Bug,4,70,80,102,40,257,0,716,617,416
Stunfisk,Ground,9,109,66,84,32,221,Vikavolt,Bug,4,77,70,90,43,280,0,717,618,738
Galarian Stunfisk,Ground,9,109,81,99,32,295,Vivillon,Bug,4,80,52,50,89,271,1,718,618,666
Mienfoo,Fighting,13,45,85,50,65,208.5,Volbeat,Bug,4,65,73,75,85,213,0,719,619,313
Mienshao,Fighting,13,65,125,60,105,325,Volcarona,Bug,4,85,60,65,100,247.5,1,720,620,637
Druddigon,Dragon,17,77,120,90,48,300,Weedle,Bug,4,40,35,30,50,35,1,721,621,13
Golett,Ground,9,59,74,50,35,190.5,Whirlipede,Bug,4,40,55,99,47,167,1,722,622,544
Golurk,Ground,9,89,124,80,55,330.5,Wimpod,Bug,4,25,35,40,80,118,1,723,623,767
Pawniard,Dark,6,45,85,70,60,201,Wormadam Plant Cloak,Bug,4,60,59,85,36,155,1,724,624,413
Bisharp,Dark,6,65,125,100,70,281,Wormadam Sandy Cloak,Bug,4,60,79,105,36,155,1,725,625,413
Bouffalant,Normal,5,95,110,95,55,286,Wormadam Trash Cloak,Bug,4,60,69,95,36,205,1,726,626,413
Rufflet,Normal,5,70,83,50,60,240.5,Wurmple,Bug,4,45,45,35,20,62,1,727,627,265
Braviary,Normal,5,100,123,75,80,345.5,Yanma,Bug,4,65,65,45,95,147,1,728,628,193
Vullaby,Dark,6,70,55,75,60,184,Yanmega,Bug,4,86,76,86,95,288,0,729,629,469
Mandibuzz,Dark,6,110,65,105,80,290,Accelgor,Bug,4,80,70,40,145,270,1,730,630,617
Heatmor,Fire,2,85,97,66,65,268,Ariados,Bug,4,70,90,70,40,76,1,731,631,168
Durant,Bug,4,58,109,112,109,353,Beautifly,Bug,4,60,70,50,65,190.5,1,732,632,267
Deino,Dark,6,52,65,50,38,25,Beedrill,Bug,4,65,90,40,75,205,0,733,633,15
Zweilous,Dark,6,72,85,70,58,245,Blipbug,Bug,4,25,20,20,45,25,1,734,634,824
Hydreigon,Dark,6,92,105,90,98,327,Burmy,Bug,4,40,29,45,36,45,1,735,635,412
Larvesta,Bug,4,55,85,55,60,232.5,Butterfree,Bug,4,60,45,50,70,182.5,1,736,636,12
Volcarona,Bug,4,85,60,65,100,240.5,Buzzwole,Bug,4,107,139,139,79,434,0,737,637,794
Cobalion,Steel,12,91,90,129,108,409.25,Cascoon,Bug,4,50,35,55,15,65,1,738,638,268
Terrakion,Rock,15,91,129,90,108,403,Caterpie,Bug,4,45,30,35,45,-103,1,739,639,10
Virizion,Grass,1,91,90,72,108,279,Charjabug,Bug,4,57,82,95,36,225,1,740,640,737
Tornadus Incarnate Forme,Flying,18,79,115,70,111,360,Combee,Bug,4,30,30,42,70,-58,1,741,641,415
Tornadus Therian Forme,Flying,18,79,100,80,121,327.5,Crustle,Bug,4,70,105,125,45,245,1,742,641,558
Thundurus Incarnate Forme,Electric,8,79,115,70,111,352.5,Cutiefly,Bug,4,40,45,40,84,94,1,743,642,742
Thundurus Therian Forme,Electric,8,79,105,70,101,337.5,Dottler,Bug,4,50,35,80,30,90,1,744,642,825
Reshiram,Dragon,17,100,120,100,90,355.5,Durant,Bug,4,58,109,112,109,328,1,745,643,632
Zekrom,Dragon,17,100,150,120,90,410,Dustox,Bug,4,60,50,70,65,95,1,746,644,269
Landorus Incarnate Forme,Ground,9,89,125,90,101,372.5,Dwebble,Bug,4,50,65,85,55,130,1,747,645,557
Landorus Therian Forme,Ground,9,89,145,90,91,347.5,Escavalier,Bug,4,70,135,105,20,185,1,748,645,589
Kyurem,Dragon,17,125,130,90,95,350,Forretress,Bug,4,75,90,140,40,280,1,749,646,205
Black Kyurem,Dragon,17,125,170,100,95,413,Galvantula,Bug,4,70,77,60,108,145,1,750,646,596
White Kyurem,Dragon,17,125,120,90,95,310,Genesect,Bug,4,71,120,95,99,325,0,751,646,649
Keldeo Ordinary Forme,Water,3,91,72,90,108,298.5,Golisopod,Bug,4,75,125,140,40,344,0,752,647,768
Keldeo Resolute Forme,Water,3,91,72,90,108,330,Grubbin,Bug,4,47,62,45,46,128,1,753,647,736
Meloetta Aria Forme,Normal,5,100,77,77,90,94,Heracross,Bug,4,80,125,75,85,288,0,754,648,214
Meloetta Pirouette Forme,Normal,5,100,128,90,128,422.5,Illumise,Bug,4,65,47,75,85,144,1,755,648,314
Genesect,Bug,4,71,120,95,99,361.5,Joltik,Bug,4,50,47,50,65,92,1,756,649,595
Chespin,Grass,1,56,61,65,38,170,Kakuna,Bug,4,45,25,50,35,139.75,1,757,650,14
Quilladin,Grass,1,61,78,95,57,141,Karrablast,Bug,4,50,75,45,60,191,0,758,651,588
Chesnaught,Grass,1,88,107,122,64,356,Kricketot,Bug,4,37,25,41,25,74.5,1,759,652,401
Fennekin,Fire,2,40,45,40,60,142.5,Kricketune,Bug,4,77,85,51,65,188,0,760,653,402
Braixen,Fire,2,59,59,58,73,206.5,Larvesta,Bug,4,55,85,55,60,196,1,761,654,636
Delphox,Fire,2,75,69,72,104,217,Leavanny,Bug,4,75,103,80,92,74,1,762,655,542
Froakie,Water,3,41,56,40,71,173,Ledian,Bug,4,55,35,50,85,169,1,763,656,166
Frogadier,Water,3,54,63,52,97,246,Ledyba,Bug,4,40,20,30,55,82,1,764,657,165
Greninja,Water,3,72,95,67,122,236,Masquerain,Bug,4,70,60,62,80,177,1,765,658,284
Ash-Greninja,Water,3,72,145,67,132,116,Mega Beedrill,Bug,4,65,150,40,145,255,0,766,658,15
Bunnelby,Normal,5,38,36,38,57,-16,Mega Heracross,Bug,4,80,185,115,75,419,0,767,659,214
Diggersby,Normal,5,85,56,77,78,141,Mega Pinsir,Bug,4,65,155,120,105,389,0,768,660,127
Fletchling,Normal,5,45,50,43,62,125,Mega Scizor,Bug,4,70,150,140,75,410,0,769,661,212
Fletchinder,Fire,2,62,73,55,84,269,Metapod,Bug,4,50,20,55,30,9,1,770,662,11
Talonflame,Fire,2,78,81,71,126,332.5,Mothim,Bug,4,70,94,50,66,118,1,771,663,414
Scatterbug,Bug,4,38,35,40,35,103,Nincada,Bug,4,31,45,90,40,171,0,772,664,290
Spewpa,Bug,4,45,22,60,29,66,Ninjask,Bug,4,61,90,45,160,345,0,773,665,291
Vivillon,Bug,4,80,52,50,89,248.5,Orbeetle,Bug,4,60,45,110,90,201,1,774,666,826
Litleo,Fire,2,62,50,58,72,207,Paras,Bug,4,35,70,55,25,-15,1,775,667,46
Pyroar,Fire,2,86,68,72,106,284.5,Parasect,Bug,4,60,95,80,30,-7,1,776,668,47
Flab̩b̩,Fairy,11,44,38,39,42,94.5,Pheromosa,Bug,4,71,137,37,151,320,0,777,669,795
Floette,Fairy,11,54,45,47,52,165.5,Pineco,Bug,4,50,65,90,15,175,0,778,670,204
Florges,Fairy,11,78,65,68,75,223.5,Pinsir,Bug,4,65,125,100,85,310,0,779,671,127
Skiddo,Grass,1,66,65,48,52,121,Ribombee,Bug,4,60,55,60,124,266.5,0,780,672,743
Gogoat,Grass,1,123,100,62,68,283,Scatterbug,Bug,4,38,35,40,35,98,1,781,673,664
Pancham,Fighting,13,67,82,62,43,189,Scizor,Bug,4,70,130,100,65,324,0,782,674,212
Pangoro,Fighting,13,95,124,78,58,255,Scolipede,Bug,4,60,100,89,112,299,0,783,675,545
Furfrou,Normal,5,75,80,60,102,207,Scyther,Bug,4,70,110,80,105,285,0,784,676,123
Espurr,Psychic,14,62,48,54,68,126,Sewaddle,Bug,4,45,53,70,42,162,0,785,677,540
Meowstic Male,Psychic,14,74,48,76,104,122,Shedinja,Bug,4,1,90,45,40,176,0,786,678,292
Meowstic Female,Psychic,14,74,48,76,104,222,Shelmet,Bug,4,50,40,85,25,152,1,787,678,616
Honedge,Steel,12,45,80,100,28,250.5,Shuckle,Bug,4,20,10,230,5,105,1,788,679,213
Doublade,Steel,12,59,110,150,35,345.25,Silcoon,Bug,4,50,35,55,15,45,1,789,680,266
Aegislash Blade Forme,Steel,12,60,150,50,60,314.5,Spewpa,Bug,4,45,22,60,29,6,1,790,681,665
Aegislash Shield Forme,Steel,12,60,50,150,60,305,Spinarak,Bug,4,40,60,40,30,120,1,791,681,167
Spritzee,Fairy,11,78,52,60,23,198,Surskit,Bug,4,40,30,32,65,115,1,792,682,283
Aromatisse,Fairy,11,101,72,72,29,242.5,Swadloon,Bug,4,55,63,90,42,178,1,793,683,541
Swirlix,Fairy,11,62,48,66,49,202.5,Venipede,Bug,4,30,45,59,57,167,1,794,684,543
Slurpuff,Fairy,11,82,80,86,72,287.5,Venomoth,Bug,4,70,65,60,90,245,1,795,685,49
Inkay,Dark,6,53,54,53,45,-15,Venonat,Bug,4,60,55,50,45,156,0,796,686,48
Malamar,Dark,6,86,92,88,73,19,Vespiquen,Bug,4,70,80,102,40,200,0,797,687,416
Binacle,Rock,15,42,52,67,50,141,Vikavolt,Bug,4,77,70,90,43,176,0,798,688,738
Barbaracle,Rock,15,72,105,115,68,308,Vivillon,Bug,4,80,52,50,89,-149,1,799,689,666
Skrelp,Poison,7,50,60,60,30,163.5,Volbeat,Bug,4,65,73,75,85,238,0,800,690,313
Dragalge,Poison,7,65,75,90,44,244,Volcarona,Bug,4,85,60,65,100,235,1,801,691,637
Clauncher,Water,3,50,53,62,44,174,Weedle,Bug,4,40,35,30,50,102,1,802,692,13
Clawitzer,Water,3,71,73,88,59,236,Whirlipede,Bug,4,40,55,99,47,168,1,803,693,544
Helioptile,Electric,8,44,38,33,70,150,Wimpod,Bug,4,25,35,40,80,104,1,804,694,767
Heliolisk,Electric,8,62,55,52,109,219,Wormadam Plant Cloak,Bug,4,60,59,85,36,212.5,1,805,695,413
Tyrunt,Rock,15,58,89,77,48,193,Wormadam Sandy Cloak,Bug,4,60,79,105,36,191,1,806,696,413
Tyrantrum,Rock,15,82,121,119,71,324,Wormadam Trash Cloak,Bug,4,60,69,95,36,139,1,807,697,413
Amaura,Rock,15,77,59,50,46,187,Wurmple,Bug,4,45,45,35,20,27,1,808,698,265
Aurorus,Rock,15,123,77,72,58,265,Yanma,Bug,4,65,65,45,95,-38,1,809,699,193
Sylveon,Fairy,11,95,65,65,60,247,Yanmega,Bug,4,86,76,86,95,278,0,810,700,469
Hawlucha,Fighting,13,78,92,75,118,345.5,Accelgor,Bug,4,80,70,40,145,243,1,811,701,617
Dedenne,Electric,8,67,58,57,101,238,Ariados,Bug,4,70,90,70,40,212,1,812,702,168
Carbink,Rock,15,50,50,150,50,265,Beautifly,Bug,4,60,70,50,65,45,1,813,703,267
Goomy,Dragon,17,45,50,35,40,80,Beedrill,Bug,4,65,90,40,75,220,0,814,704,15
Sliggoo,Dragon,17,68,75,53,60,236,Blipbug,Bug,4,25,20,20,45,35,1,815,705,824
Goodra,Dragon,17,90,100,70,80,311,Burmy,Bug,4,40,29,45,36,50,1,816,706,412
Klefki,Steel,12,57,80,91,75,291.75,Butterfree,Bug,4,60,45,50,70,145,1,817,707,12
Phantump,Ghost,16,43,70,48,38,60,Buzzwole,Bug,4,107,139,139,79,394,0,818,708,794
Trevenant,Ghost,16,85,110,76,56,292,Cascoon,Bug,4,50,35,55,15,45,1,819,709,268
Pumpkaboo Average Size,Ghost,16,49,66,70,51,206,Caterpie,Bug,4,45,30,35,45,89,1,820,710,10
Pumpkaboo Small Size,Ghost,16,44,66,70,56,154,Charjabug,Bug,4,57,82,95,36,204,0,821,710,737
Pumpkaboo Large Size,Ghost,16,54,66,70,46,206,Combee,Bug,4,30,30,42,70,106,1,822,710,415
Pumpkaboo Super Size,Ghost,16,59,66,70,41,131,Crustle,Bug,4,70,105,125,45,279,0,823,710,558
Gourgeist Average Size,Ghost,16,65,90,122,84,316,Cutiefly,Bug,4,40,45,40,84,119,1,824,711,742
Gourgeist Small Size,Ghost,16,55,85,122,99,326,Dottler,Bug,4,50,35,80,30,25,1,825,711,825
Gourgeist Large Size,Ghost,16,75,95,122,69,252,Durant,Bug,4,58,109,112,109,293,0,826,711,632
Gourgeist Super Size,Ghost,16,85,100,122,54,311,Dustox,Bug,4,60,50,70,65,145,1,827,711,269
Bergmite,Ice,10,55,69,85,28,172,Dwebble,Bug,4,50,65,85,55,186,0,828,712,557
Avalugg,Ice,10,95,117,184,28,289,Escavalier,Bug,4,70,135,105,20,271.5,1,829,713,589
Noibat,Flying,18,40,30,35,55,115,Forretress,Bug,4,75,90,140,40,315,0,830,714,205
Noivern,Flying,18,85,70,80,123,319.5,Galvantula,Bug,4,70,77,60,108,245,1,831,715,596
Xerneas,Fairy,11,126,131,95,99,391,Genesect,Bug,4,71,120,95,99,319.5,1,832,716,649
Yveltal,Dark,6,126,131,95,99,326,Golisopod,Bug,4,75,125,140,40,249,1,833,717,768
Zygarde 50% Forme,Dragon,17,108,100,121,95,362,Grubbin,Bug,4,47,62,45,46,100,1,834,718,736
Zygarde 10% Forme,Dragon,17,54,100,71,115,215,Heracross,Bug,4,80,125,75,85,265,0,835,718,214
Zygarde Complete Forme,Dragon,17,216,100,121,85,475,Illumise,Bug,4,65,47,75,85,172,1,836,718,314
Diancie,Rock,15,50,100,150,50,326.5,Joltik,Bug,4,50,47,50,65,12,1,837,719,595
Mega Diancie,Rock,15,50,160,110,110,417.5,Kakuna,Bug,4,45,25,50,35,-165,1,838,719,14
Hoopa Hoopa Confined,Psychic,14,80,110,60,70,245,Karrablast,Bug,4,50,75,45,60,120,1,839,720,588
Hoopa Hoopa Unbound,Psychic,14,80,160,60,80,280,Kricketot,Bug,4,37,25,41,25,-32,1,840,720,401
Volcanion,Fire,2,80,110,120,70,337.5,Kricketune,Bug,4,77,85,51,65,58,1,841,721,402
Rowlet,Grass,1,68,55,55,42,135,Larvesta,Bug,4,55,85,55,60,241.25,0,842,722,636
Dartrix,Grass,1,78,75,75,52,177,Leavanny,Bug,4,75,103,80,92,331.25,0,843,723,542
Decidueye,Grass,1,78,107,75,70,295,Ledian,Bug,4,55,35,50,85,198.25,1,844,724,166
Litten,Fire,2,45,65,40,70,210,Ledyba,Bug,4,40,20,30,55,15,1,845,725,165
Torracat,Fire,2,65,85,50,90,260,Masquerain,Bug,4,70,60,62,80,102,1,846,726,284
Incineroar,Fire,2,95,115,90,60,210,Mega Beedrill,Bug,4,65,150,40,145,170,1,847,727,15
Popplio,Water,3,50,54,54,40,13,Mega Heracross,Bug,4,80,185,115,75,401,0,848,728,214
Brionne,Water,3,60,69,69,50,93,Mega Pinsir,Bug,4,65,155,120,105,376,0,849,729,127
Primarina,Water,3,80,74,74,60,213,Mega Scizor,Bug,4,70,150,140,75,361,0,850,730,212
Pikipek,Normal,5,35,75,30,65,195,Metapod,Bug,4,50,20,55,30,80,1,851,731,11
Trumbeak,Normal,5,55,85,50,75,218,Mothim,Bug,4,70,94,50,66,195,1,852,732,414
Toucannon,Normal,5,80,120,75,60,312.5,Nincada,Bug,4,31,45,90,40,86,1,853,733,290
Yungoos,Normal,5,48,70,30,45,103,Ninjask,Bug,4,61,90,45,160,286,0,854,734,291
Gumshoos,Normal,5,88,110,60,45,258,Orbeetle,Bug,4,60,45,110,90,195,1,855,735,826
Grubbin,Bug,4,47,62,45,46,130,Paras,Bug,4,35,70,55,25,61,1,856,736,46
Charjabug,Bug,4,57,82,95,36,175,Parasect,Bug,4,60,95,80,30,101,1,857,737,47
Vikavolt,Bug,4,77,70,90,43,143,Pheromosa,Bug,4,71,137,37,151,361,0,858,738,795
Crabrawler,Fighting,13,47,82,57,63,216.5,Pineco,Bug,4,50,65,90,15,138,1,859,739,204
Crabominable,Fighting,13,97,132,77,43,286.5,Pinsir,Bug,4,65,125,100,85,243,1,860,740,127
Oricorio Baile Style,Fire,2,75,70,70,93,294.25,Ribombee,Bug,4,60,55,60,124,159,1,861,741,743
Oricorio Pom-Pom Style,Electric,8,75,70,70,93,290.5,Scatterbug,Bug,4,38,35,40,35,78,1,862,741,664
Oricorio Pa'u Style,Psychic,14,75,70,70,93,178,Scizor,Bug,4,70,130,100,65,330,0,863,741,212
Oricorio Sensu Style,Ghost,16,75,70,70,93,283,Scolipede,Bug,4,60,100,89,112,291,0,864,741,545
Cutiefly,Bug,4,40,45,40,84,154,Scyther,Bug,4,70,110,80,105,342.5,0,865,742,123
Ribombee,Bug,4,60,55,60,124,272.5,Sewaddle,Bug,4,45,53,70,42,100,1,866,743,540
Rockruff,Rock,15,45,65,40,60,120,Shedinja,Bug,4,1,90,45,40,46,1,867,744,292
Own Tempo Rockruff,Rock,15,45,65,40,60,170,Shelmet,Bug,4,50,40,85,25,70,1,868,744,616
Lycanroc Midday Form,Rock,15,75,115,65,112,357,Shuckle,Bug,4,20,10,230,5,35,1,869,745,213
Lycanroc Midnight Form,Rock,15,85,115,75,82,322,Silcoon,Bug,4,50,35,55,15,-75,1,870,745,266
Lycanroc Dusk Form,Rock,15,75,117,65,110,345,Spewpa,Bug,4,45,22,60,29,-78,1,871,745,665
Wishiwashi Solo Form,Water,3,45,20,20,40,65,Spinarak,Bug,4,40,60,40,30,150,0,872,746,167
Wishiwashi School Form,Water,3,45,140,130,30,315,Surskit,Bug,4,40,30,32,65,97,1,873,746,283
Mareanie,Poison,7,50,53,62,45,178.5,Swadloon,Bug,4,55,63,90,42,144,1,874,747,541
Toxapex,Poison,7,50,63,152,35,277.5,Venipede,Bug,4,30,45,59,57,159.5,1,875,748,543
Mudbray,Ground,9,70,100,70,45,220,Venomoth,Bug,4,70,65,60,90,185,1,876,749,49
Mudsdale,Ground,9,100,125,100,35,305,Venonat,Bug,4,60,55,50,45,85,1,877,750,48
Dewpider,Water,3,38,40,52,27,77,Vespiquen,Bug,4,70,80,102,40,252,0,878,751,416
Araquanid,Water,3,68,70,92,42,202,Vikavolt,Bug,4,77,70,90,43,210,0,879,752,738
Fomantis,Grass,1,40,55,35,35,61,Vivillon,Bug,4,80,52,50,89,257.25,0,880,753,666
Lurantis,Grass,1,70,105,90,45,164,Volbeat,Bug,4,65,73,75,85,245.5,0,881,754,313
Morelull,Grass,1,40,35,55,15,85,Volcarona,Bug,4,85,60,65,100,301.25,0,882,755,637
Shiinotic,Grass,1,60,45,80,30,180,Weedle,Bug,4,40,35,30,50,143.75,1,883,756,13
Salandit,Poison,7,48,44,40,77,195.25,Whirlipede,Bug,4,40,55,99,47,219,0,884,757,544
Salazzle,Poison,7,68,64,60,117,300.25,Wimpod,Bug,4,25,35,40,80,116,1,885,758,767
Stufful,Normal,5,70,75,50,50,215.5,Wormadam Plant Cloak,Bug,4,60,59,85,36,165,1,886,759,413
Bewear,Normal,5,120,125,80,60,345.5,Wormadam Sandy Cloak,Bug,4,60,79,105,36,155,1,887,760,413
Bounsweet,Grass,1,42,30,38,32,4,Wormadam Trash Cloak,Bug,4,60,69,95,36,252.5,0,888,761,413
Steenee,Grass,1,52,40,48,62,112,Wurmple,Bug,4,45,45,35,20,125,0,889,762,265
Tsareena,Grass,1,72,120,98,72,232,Yanma,Bug,4,65,65,45,95,240,0,890,763,193
Comfey,Fairy,11,51,52,90,100,255,Yanmega,Bug,4,86,76,86,95,291,0,891,764,469
Oranguru,Normal,5,90,60,80,60,150,Accelgor,Bug,4,80,70,40,145,275,0,892,765,617
Passimian,Fighting,13,100,120,90,80,345,Ariados,Bug,4,70,90,70,40,210,1,893,766,168
Wimpod,Bug,4,25,35,40,80,110,Beautifly,Bug,4,60,70,50,65,227.5,0,894,767,267
Golisopod,Bug,4,75,125,140,40,290,Beedrill,Bug,4,65,90,40,75,207.5,1,895,768,15
Sandygast,Ghost,16,55,55,80,15,195,Blipbug,Bug,4,25,20,20,45,55,1,896,769,824
Palossand,Ghost,16,85,75,110,35,290.5,Burmy,Bug,4,40,29,45,36,75,1,897,770,412
Pyukumuku,Water,3,55,60,130,5,205,Butterfree,Bug,4,60,45,50,70,165,1,898,771,12
Type: Null,Normal,5,95,95,95,59,205,Buzzwole,Bug,4,107,139,139,79,369,0,899,772,794
Silvally,Normal,5,95,95,95,95,345,Cascoon,Bug,4,50,35,55,15,60,1,900,773,268
Minior Meteor Form,Rock,15,60,60,100,60,265,Caterpie,Bug,4,45,30,35,45,35,1,901,774,10
Minior Core Form,Rock,15,60,100,60,120,299,Charjabug,Bug,4,57,82,95,36,70,1,902,774,737
Komala,Normal,5,65,115,65,65,280,Combee,Bug,4,30,30,42,70,57,1,903,775,415
Turtonator,Fire,2,60,78,135,36,256.5,Crustle,Bug,4,70,105,125,45,267,0,904,776,558
Togedemaru,Electric,8,65,98,63,96,299.5,Cutiefly,Bug,4,40,45,40,84,111,1,905,777,742
Mimikyu,Ghost,16,55,90,80,96,312.25,Dottler,Bug,4,50,35,80,30,15,1,906,778,825
Bruxish,Water,3,68,105,70,92,117,Durant,Bug,4,58,109,112,109,283,0,907,779,632
Drampa,Normal,5,78,60,85,36,209,Dustox,Bug,4,60,50,70,65,185,1,908,780,269
Dhelmise,Ghost,16,70,131,100,40,276,Dwebble,Bug,4,50,65,85,55,124,1,909,781,557
Jangmo-o,Dragon,17,45,55,65,45,75,Escavalier,Bug,4,70,135,105,20,302.5,0,910,782,589
Hakamo-o,Dragon,17,55,75,90,65,240,Forretress,Bug,4,75,90,140,40,307.5,0,911,783,205
Kommo-o,Dragon,17,75,110,125,85,356.5,Galvantula,Bug,4,70,77,60,108,205,1,912,784,596
Tapu Koko,Electric,8,70,115,85,130,340,Genesect,Bug,4,71,120,95,99,270,1,913,785,649
Tapu Lele,Psychic,14,70,85,75,95,200,Golisopod,Bug,4,75,125,140,40,295,0,914,786,768
Tapu Bulu,Grass,1,70,130,115,75,328,Grubbin,Bug,4,47,62,45,46,135,1,915,787,736
Tapu Fini,Water,3,70,75,115,85,282.5,Heracross,Bug,4,80,125,75,85,290,0,916,788,214
Cosmog,Psychic,14,43,29,31,37,46,Illumise,Bug,4,65,47,75,85,243,0,917,789,314
Cosmoem,Psychic,14,43,29,131,37,146,Joltik,Bug,4,50,47,50,65,183,0,918,790,595
